customer_id,customer_name,customer_gender,customer_age,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_tenure,customer_loyalty,latitude,longitude,total_spend,percentage_lifetime_spend_groceries,percentage_lifetime_spend_electronics,percentage_lifetime_spend_vegetables,percentage_lifetime_spend_nonalcohol_drinks,percentage_lifetime_spend_alcohol_drinks,percentage_lifetime_spend_meat,percentage_lifetime_spend_fish,percentage_lifetime_spend_hygiene,percentage_lifetime_spend_videogames,percentage_lifetime_spend_petfood,customer_education,dietary_preferences,nr_childs
811,Beth`s Fishy,False,37,0.0,1.0,11576.0,92.0,8.0,588.0,139.0,98.0,36.0,38868.0,24.0,0.0,0.0,17.0,0.3323417548944332,7.0,1,39.356679815521694,-9.382173726106542,51421.0,0.22512198807452438,0.0017891519439233107,0.011435014598118552,0.0027031752196232627,0.0019058357663530917,0.0007001029345786868,0.7558778017001222,0.00046673528971912453,0.0,0.0,0,Fish and Meat,0.0
859,Curtis`s Fishy,True,66,1.0,1.0,11784.0,42.0,9.0,194.0,220.0,71.0,112.0,39804.0,60.0,0.0,0.0,6.0,0.3567297997243844,13.0,1,39.357120363321336,-9.381486452440404,52287.0,0.2253714641552462,0.0008032587826307145,0.003710290567389491,0.004207546004256124,0.0013578898468281128,0.002142023420348572,0.7612598234245943,0.0011475125466153065,0.0,0.0,0,Fish and Meat,0.0
985,Luis`s Fishy,True,65,1.0,1.0,12138.0,153.0,9.0,670.0,272.0,151.0,63.0,35367.0,59.0,0.0,0.0,26.0,0.0,14.0,1,39.356237664922126,-9.382011937570637,48873.0,0.24835793825671879,0.00313056224693343,0.013708998074806524,0.00556544399454832,0.0030896398646205747,0.0012890550428549417,0.7236509476293765,0.0012072102782292311,0.0,0.0,0,Fish and Meat,0.0
1366,Tom`s Fishy,True,59,1.0,1.0,14116.0,127.0,17.0,480.0,339.0,51.0,84.0,39700.0,65.0,0.0,0.0,22.0,0.4949405510819111,14.0,1,38.9631625545037,-9.417218448145393,54962.0,0.2568319462843517,0.0023106869635954,0.008733305059258204,0.006167896698101106,0.0009279136625461841,0.0015283283853701857,0.722317105942814,0.0011826350601078818,0.0,0.0,0,Fish and Meat,0.0
1461,Alice`s Fishy,False,27,1.0,1.0,11036.0,202.0,6.0,507.0,316.0,82.0,96.0,43637.0,100.0,0.0,0.0,40.0,0.0494504267728536,4.0,1,38.96376208550242,-9.416958959171495,55976.0,0.19715588874591097,0.003608688793645706,0.00905745157613056,0.005645275538574471,0.001464913272668059,0.0017150204167821178,0.7795661034075133,0.001786479600814706,0.0,0.0,0,Fish and Meat,0.0
1467,Ruby`s Fishy,False,42,0.0,1.0,10020.0,211.0,7.0,372.0,312.0,94.0,67.0,35601.0,149.0,0.0,0.0,31.0,0.2735026463289024,11.0,1,38.96237887623124,-9.416375559503866,46826.0,0.2139836385803531,0.004506042688668114,0.007944302749689755,0.006662963596513988,0.0020074313399753682,0.0014308287210462731,0.7602825865368413,0.003181992230386488,0.0,0.0,0,Fish and Meat,0.0
1483,Ryan`s Fishy,True,47,1.0,1.0,13188.0,120.0,9.0,300.0,344.0,141.0,86.0,41404.0,60.0,0.0,0.0,6.0,0.8692257107983918,20.0,1,38.96365303483279,-9.417378157176351,55643.0,0.2370109021780094,0.0021566051153595034,0.005391512788398758,0.006182267997363909,0.0025340110105474163,0.0015455669993409773,0.7441006516362073,0.0010783025576797517,0.0,0.0,0,Fish and Meat,0.0
1488,Pamela`s Fishy,False,69,,1.0,15079.0,231.0,17.0,220.0,390.0,81.0,43.0,37001.0,81.0,0.0,0.0,14.0,0.3981424128078796,15.0,1,38.96356373319574,-9.41746279547715,53126.0,0.2838346038032971,0.004348152628062977,0.004141097741012359,0.007341036904521909,0.0015246768955545504,0.0008093963766524156,0.6964761705236286,0.0015246768955545504,0.0,0.0,0,Fish and Meat,0.0
1693,Bess`s Fishy,False,51,0.0,1.0,19748.0,36.0,17.0,505.0,458.0,143.0,39.0,35734.0,147.0,0.0,0.0,7.0,0.7564684222538882,15.0,1,38.96409408575972,-9.416636731999557,56810.0,0.34761479535032647,0.0006336911399945185,0.008889278491589775,0.008061959503263598,0.00251716202831156,0.0006864987349940617,0.6290088665712257,0.0025875721549776173,0.0,0.0,0,Fish and Meat,0.0
1789,Felipe`s Fishy,True,77,0.0,1.0,11997.0,72.0,17.0,513.0,281.0,143.0,138.0,39076.0,15.0,0.0,0.0,10.0,0.5295164864687549,13.0,1,39.3570857668773,-9.380656078466528,52235.0,0.22967354653516864,0.0013783858756799318,0.009820999364219514,0.005379533764806401,0.0027376275030865315,0.0026419062617198696,0.7480806455287363,0.0002871637240999858,0.0,0.0,0,Fish and Meat,0.0
1830,Alejandro`s Fishy,True,24,1.0,1.0,13810.0,578.0,6.0,925.0,439.0,152.0,37.0,43232.0,150.0,0.0,0.0,29.0,0.1341846371427567,1.0,1,39.35710828111099,-9.380403869771166,59323.0,0.2327933124094681,0.009743268252908947,0.015592600577752207,0.00740016394987375,0.0025622435543982006,0.0006237040231100883,0.7287560088404145,0.002528529823419277,0.0,0.0,0,Fish and Meat,0.0
1850,Julianna`s Fishy,False,45,1.0,1.0,11596.0,93.0,9.0,301.0,160.0,136.0,126.0,39259.0,17.0,0.0,0.0,33.0,0.4609691170814328,20.0,1,39.35671918056265,-9.38116257750083,51688.0,0.22434603305486125,0.0017992567328477145,0.005823400823517871,0.003095495454361659,0.0026311711362074107,0.0024377026703098067,0.7595378502674024,0.00032889639202592633,0.0,0.0,0,Fish and Meat,0.0
2179,Daisy`s Fishy,False,64,1.0,1.0,16723.0,99.0,7.0,305.0,313.0,123.0,102.0,39313.0,182.0,0.0,0.0,31.0,0.7723746275724892,12.0,1,38.96300547962434,-9.416972811960838,57160.0,0.29256467939736186,0.00173198010287262,0.005335898296728779,0.005475856284839698,0.0021518540672053766,0.0017844643484142147,0.6877710483255689,0.003184044229523403,0.0,0.0,0,Fish and Meat,0.0
2428,Vicki`s Fishy,False,48,,1.0,14386.0,64.0,17.0,640.0,274.0,197.0,17.0,44927.0,24.0,0.0,0.0,34.0,0.4854835440854713,14.0,1,38.96225026855161,-9.416771029398843,60529.0,0.23767115966377114,0.0010573442387377557,0.010573442387377556,0.004526755022096016,0.003254637734864654,0.0002808570634147163,0.7422391345901742,0.0003965040895266584,0.0,0.0,0,Fish and Meat,0.0
2715,June`s Fishy,False,69,0.0,1.0,12565.0,204.0,8.0,449.0,323.0,112.0,109.0,34719.0,81.0,0.0,0.0,39.0,0.6401922593230323,18.0,1,38.96366500753041,-9.417299462894697,48562.0,0.25874134946226485,0.004200814587369839,0.009245910537887538,0.006651289763335578,0.0023063295773795194,0.0022445528922711393,0.7149415767592816,0.0016679704979262596,0.0,0.0,0,Fish and Meat,0.0
3000,Thelma`s Fishy,False,48,1.0,1.0,15400.0,297.0,8.0,339.0,324.0,82.0,129.0,35115.0,101.0,0.0,0.0,3.0,0.5561421652156479,16.0,1,38.96286802471516,-9.416310699252993,51787.0,0.29737186989555875,0.005735028919414347,0.0065460431100385985,0.006256395184815651,0.0015834086578854426,0.0024909721569173426,0.6780657929469185,0.0019502960298345086,0.0,0.0,0,Fish and Meat,0.0
3090,Edward`s Fishy,True,63,0.0,1.0,15492.0,232.0,17.0,722.0,396.0,75.0,22.0,41409.0,133.0,0.0,0.0,17.0,0.2227658840550754,14.0,1,38.96235214423792,-9.417758805076488,58481.0,0.2649065055476983,0.003967099747422283,0.012345888007064173,0.006771428879220793,0.0012824675907615137,0.00037619049329004405,0.708076006211247,0.0022742425276170847,0.0,0.0,0,Fish and Meat,1.0
3092,Richard`s Fishy,True,49,1.0,1.0,11988.0,74.0,6.0,466.0,307.0,105.0,91.0,40023.0,150.0,0.0,0.0,27.0,0.3754872671011436,14.0,1,39.35664706677535,-9.382114791051375,53204.0,0.22532136205522854,0.0013908726052791886,0.008758738298109484,0.005770241754333931,0.0019735354534366864,0.0017103973929784616,0.7522553281228238,0.0028193363620524093,0.0,0.0,0,Fish and Meat,0.0
3096,Rebecca`s Fishy,False,39,0.0,1.0,13812.0,107.0,7.0,168.0,436.0,75.0,92.0,44248.0,71.0,0.0,0.0,8.0,0.5237415406783417,12.0,1,38.96237633153518,-9.417494139550204,59009.0,0.23406595026759472,0.0018132824122960205,0.002847022852950761,0.007388702165991261,0.001270992345067304,0.0015590839432825597,0.7498515904605076,0.0012032060866637145,0.0,0.0,0,Fish and Meat,0.0
3245,Julia`s Fishy,False,50,1.0,1.0,13837.0,583.0,11.0,823.0,217.0,97.0,139.0,36787.0,76.0,0.0,0.0,20.0,0.7425202886163709,13.0,1,39.35605725028087,-9.382158498577944,52559.0,0.2632659937848905,0.011092294166119187,0.015658590220782316,0.004128692682757913,0.0018455446554263484,0.002644646464992396,0.6999180540120523,0.0014459937506433244,0.0,0.0,0,Fish and Meat,0.0
3353,Jean`s Fishy,False,77,1.0,1.0,16520.0,424.0,6.0,1184.0,210.0,49.0,4.0,45522.0,58.0,0.0,0.0,6.0,0.3510776075350256,21.0,1,38.96310575691434,-9.417527767631176,63971.0,0.25824197554486006,0.00662800227790682,0.018508383719437915,0.0032827369772651703,0.0007659719613618731,6.252832337647944e-05,0.7116035841860242,0.0009066606889589518,0.0,0.0,0,Fish and Meat,0.0
3373,Seth`s Fishy,True,73,1.0,1.0,13339.0,407.0,6.0,409.0,256.0,174.0,60.0,43764.0,87.0,0.0,0.0,16.0,0.2807916127459645,17.0,1,39.35750817197884,-9.381705250713583,58496.0,0.22803264701301848,0.006957739510780308,0.0069919298769266485,0.004376366866731594,0.0029745618547316302,0.0010257109843902173,0.7481535920142245,0.0014872809273658151,0.0,0.0,0,Fish and Meat,1.0
3380,Samuel`s Fishy,True,36,0.0,1.0,16614.0,97.0,6.0,179.0,422.0,18.0,131.0,45222.0,118.0,0.0,0.0,7.0,0.4710042043230928,9.0,1,38.964006094505365,-9.418047873980209,62801.0,0.26454988542381724,0.0015445611463892062,0.0028502726309656483,0.006719637152332422,0.0002866195941753166,0.0020859537131648043,0.7200839604331204,0.0018789506729270755,0.0,0.0,0,Fish and Meat,0.0
3409,William`s Fishy,True,66,0.0,1.0,14358.0,106.0,9.0,98.0,126.0,61.0,109.0,33484.0,81.0,0.0,0.0,21.0,0.4464195663619371,17.0,1,38.96380645727439,-9.416252475579054,48423.0,0.29651192687113004,0.0021890419451413698,0.0020238312323005115,0.002602068727243515,0.0012597316854115429,0.0022509959624566916,0.6914894385954116,0.0016727584675136882,0.0,0.0,0,Fish and Meat,0.0
3455,Diana`s Fishy,False,53,1.0,1.0,13449.0,383.0,7.0,117.0,227.0,28.0,116.0,36783.0,104.0,0.0,0.0,30.0,0.7532102562878278,13.0,1,38.9628060209108,-9.41639787405386,51207.0,0.2626398221649731,0.007479444708839668,0.002284843422804807,0.004432986811766592,0.0005468001353720907,0.0022653148465415184,0.7183196206925575,0.002030971931382051,0.0,0.0,0,Fish and Meat,0.0
3490,Rita`s Fishy,False,72,1.0,1.0,12620.0,71.0,9.0,11.0,427.0,33.0,86.0,41717.0,61.0,0.0,0.0,23.0,0.5823214372740778,16.0,1,39.35732505009159,-9.381061187249578,55026.0,0.2293460856056981,0.0012902988968307896,0.00019990546288927726,0.007759966604883763,0.0005997163886678318,0.0015628972553161677,0.7581323813956345,0.0011085666578405375,0.0,0.0,0,Fish and Meat,0.0
3506,Richard`s Fishy,True,31,0.0,1.0,15463.0,153.0,7.0,898.0,320.0,84.0,60.0,42020.0,103.0,0.0,0.0,40.0,0.2027901377228353,10.0,1,39.356343930703865,-9.380446974390736,59101.0,0.2616368146669575,0.0025887882457507915,0.015194325782249744,0.0054144590760800875,0.0014212955074710228,0.0010152110767650162,0.7109861574277664,0.001742779015113278,0.0,0.0,0,Fish and Meat,0.0
3647,Hector`s Fishy,True,71,0.0,1.0,13846.0,129.0,,803.0,241.0,70.0,95.0,35938.0,109.0,0.0,0.0,19.0,0.4504822251745908,16.0,1,39.35589819172834,-9.382044155661704,51231.0,0.27026599709824184,0.0025180061841451103,0.01567410051060871,0.004704182095961021,0.0013663599448849437,0.0018543456394867093,0.7014891957039301,0.002127617628463698,0.0,0.0,0,Fish and Meat,0.0
3653,Frederick`s Fishy,True,57,0.0,1.0,12343.0,239.0,10.0,228.0,296.0,39.0,140.0,35127.0,154.0,0.0,0.0,9.0,0.6024484312331146,16.0,1,39.35751072686794,-9.38048494796375,48566.0,0.25414894079213013,0.004921137231574098,0.004694641375727592,0.006094797575505997,0.0008030307616376145,0.002882674528955539,0.7232836298472944,0.0031709419818510927,0.0,0.0,0,Fish and Meat,0.0
3674,Linda`s Fishy,False,45,1.0,1.0,13487.0,83.0,17.0,746.0,190.0,81.0,196.0,41637.0,79.0,0.0,0.0,17.0,0.6181604322513758,16.0,1,38.96235350778717,-9.416601434306758,56499.0,0.23871214734559065,0.0014690522895887909,0.01320377118112335,0.0033628907833960276,0.0014336534392372538,0.003469087334450639,0.7369509660434758,0.0013982545888857167,0.0,0.0,0,Fish and Meat,0.0
3714,David`s Fishy,True,69,0.0,1.0,16488.0,60.0,17.0,83.0,314.0,167.0,62.0,38238.0,67.0,0.0,0.0,36.0,0.2165874385835284,15.0,1,39.355695123547896,-9.380466408423027,55479.0,0.2971934791194003,0.001081490098687774,0.001496061303184754,0.005659798183132683,0.0030101474413476376,0.001117539768644033,0.6892336398937183,0.0012076639435346808,0.0,0.0,0,Fish and Meat,0.0
3759,Wayne`s Fishy,True,42,1.0,1.0,12244.0,182.0,7.0,361.0,247.0,151.0,84.0,41639.0,175.0,0.0,0.0,35.0,0.548578201289306,18.0,1,38.96334604350054,-9.417013509872705,55083.0,0.22228269660644906,0.0033041041148622777,0.006553744975083969,0.004484141298741663,0.002741317150242879,0.001524971129936436,0.755931819993134,0.0031770231873675748,0.0,0.0,0,Fish and Meat,0.0
3830,Seth`s Fishy,True,60,0.0,1.0,14025.0,567.0,9.0,808.0,317.0,172.0,69.0,34742.0,110.0,0.0,0.0,16.0,0.4061463236155944,16.0,1,38.96385278807063,-9.417559421211507,50810.0,0.2760282865521971,0.011159218429596844,0.01590237829120679,0.006238928116723457,0.003385159735256891,0.0013580001263530552,0.683762904199389,0.002164927737664291,0.0,0.0,0,Fish and Meat,0.0
4104,Tanya`s Fishy,False,51,1.0,1.0,14434.0,297.0,17.0,950.0,325.0,108.0,108.0,41426.0,74.0,0.0,0.0,28.0,0.4823254402254319,14.0,1,38.96314420775327,-9.41708526271463,57722.0,0.25006059213807696,0.005145350967507888,0.016458193330412436,0.005630434560404254,0.0018710367154574138,0.0018710367154574138,0.7176811756901743,0.0012820066383689688,0.0,0.0,0,Fish and Meat,0.0
4133,Reid`s Fishy,True,33,1.0,1.0,15258.0,149.0,7.0,813.0,357.0,146.0,67.0,39087.0,107.0,0.0,0.0,30.0,0.6560821138531718,14.0,1,39.355734171293705,-9.381636571504169,55984.0,0.27254210621925795,0.0026614742316600757,0.014522003693554641,0.0063768208100848794,0.002607887502163564,0.0011967702920887588,0.6981814986100495,0.0019112600187089135,0.0,0.0,0,Fish and Meat,0.0
4217,Deloris`s Fishy,False,62,1.0,1.0,10484.0,131.0,8.0,262.0,280.0,149.0,65.0,43886.0,135.0,0.0,0.0,20.0,0.43853940672408,11.0,1,38.963549695207305,-9.417621987916103,55392.0,0.18926917438092605,0.002364962022501079,0.004729924045002158,0.005054880658780932,0.0026899186362798534,0.0011734544386455736,0.7922803306830715,0.002437174603340807,0.0,0.0,0,Fish and Meat,0.0
4584,Matt`s Fishy,True,54,0.0,1.0,15024.0,50.0,6.0,347.0,484.0,54.0,157.0,43205.0,117.0,0.0,0.0,5.0,0.7033780713278921,15.0,1,38.96316128895169,-9.416618112053154,59438.0,0.2527675472311405,0.0008412125506893652,0.005838015101784195,0.008142937490673055,0.0009085095547445145,0.002641407409164607,0.7268917650506805,0.001968437368613115,0.0,0.0,0,Fish and Meat,0.0
4692,Mark`s Fishy,True,40,1.0,1.0,15771.0,122.0,17.0,47.0,321.0,108.0,54.0,35195.0,122.0,0.0,0.0,5.0,0.3890950136048969,16.0,1,38.963588462206346,-9.417898837925552,51740.0,0.3048124652469143,0.0023579431082444706,0.000908387918749919,0.006204096211036681,0.002087359472872154,0.001043679736436077,0.6802279319234766,0.0023579431082444706,0.0,0.0,0,Fish and Meat,0.0
4830,Larry`s Fishy,True,70,0.0,1.0,14101.0,378.0,6.0,735.0,221.0,126.0,131.0,37268.0,91.0,0.0,0.0,24.0,0.4768509017243762,11.0,1,38.96414059553192,-9.416383509774656,53051.0,0.2658007830576647,0.00712521778567458,0.013854590138811683,0.004165801932894397,0.00237507259522486,0.002469321507733783,0.7024936942765085,0.0017153302076623987,0.0,0.0,0,Fish and Meat,0.0
4974,Greg`s Fishy,True,41,0.0,1.0,13585.0,315.0,8.0,1002.0,287.0,33.0,102.0,44547.0,125.0,0.0,0.0,5.0,0.6913267657146419,19.0,1,39.35753069537036,-9.381717454245068,59996.0,0.22643172437633768,0.0052503491482183565,0.016701110623856485,0.004783651446154502,0.0005500365774323993,0.001700113057518325,0.7424993762085178,0.0020834718842136337,0.0,0.0,0,Fish and Meat,0.0
4990,Ricky`s Fishy,True,41,1.0,1.0,14148.0,97.0,6.0,1242.0,343.0,61.0,98.0,43834.0,117.0,0.0,0.0,1.0,0.3287826725654745,16.0,1,39.35679562524962,-9.381264906731223,59940.0,0.23603599665732455,0.0016182846816341872,0.020720717263810935,0.005722388101036353,0.0010176841812338704,0.0016349680288675293,0.7312978426263191,0.0019519516263010299,0.0,0.0,0,Fish and Meat,0.0
5011,Bruce`s Fishy,True,64,0.0,1.0,14362.0,191.0,7.0,423.0,299.0,159.0,28.0,33000.0,151.0,0.0,0.0,38.0,0.2876633382176021,12.0,1,38.96344672076236,-9.41711768039281,48613.0,0.29543531659529,0.003928989379592006,0.00870137438516973,0.006150616882188533,0.0032707293788226646,0.0005759775006731737,0.6788306257933833,0.0031061643786303296,0.0,0.0,0,Fish and Meat,0.0
5019,Stanley`s Fishy,True,45,1.0,1.0,16210.0,425.0,6.0,137.0,449.0,33.0,74.0,41952.0,151.0,0.0,0.0,15.0,0.3595230881323071,13.0,1,39.35735936375801,-9.38098979408159,59431.0,0.27275323101525617,0.007151148869924976,0.00230519387101111,0.007554978453167799,0.0005552656769588805,0.0012451412149987017,0.7058941115084533,0.0025407611279027564,0.0,0.0,0,Fish and Meat,0.0
5083,Michael`s Fishy,True,43,0.0,1.0,14269.0,146.0,6.0,239.0,213.0,65.0,88.0,40703.0,82.0,0.0,0.0,18.0,0.4909358799888123,13.0,1,39.35720154051531,-9.381317526798393,55805.0,0.25569388841611174,0.0026162525551021313,0.0042827695936260915,0.0038168616043613287,0.0011647699731619078,0.0015769193482807367,0.7293789571939867,0.0014694021199888683,0.0,0.0,0,Fish and Meat,0.0
5434,Teofila`s Fishy,False,67,0.0,,12466.0,105.0,6.0,283.0,146.0,68.0,10.0,42701.0,106.0,0.0,0.0,10.0,0.3207643707591165,10.0,1,38.96345088530117,-9.416681363800228,55885.0,0.2230651833112314,0.001878858033665915,0.005063969747880513,0.0026125073610973673,0.0012167842503741165,0.00017893886034913475,0.7640868275768403,0.0018967519197008284,0.0,0.0,0,Fish and Meat,0.0
5503,William`s Fishy,True,69,1.0,1.0,10899.0,81.0,17.0,1224.0,417.0,86.0,147.0,38477.0,196.0,0.0,0.0,23.0,0.3951704322937745,16.0,1,39.35718260937546,-9.380981512519485,51527.0,0.2115201328390683,0.0015719910780773035,0.023754531846501475,0.00809284295750908,0.0016690275643783715,0.0028528726972514027,0.7467345766812395,0.00380383026300187,0.0,0.0,0,Fish and Meat,0.0
5534,Regina`s Fishy,False,27,0.0,1.0,13550.0,261.0,11.0,434.0,360.0,37.0,114.0,41973.0,59.0,0.0,0.0,28.0,0.534942150709206,4.0,1,39.35618193691453,-9.38119885280529,56788.0,0.23860670588738714,0.004596040607867752,0.007642458328791588,0.006339366355679658,0.0006515459865559649,0.002007466012631892,0.7391172890192842,0.001038951708291944,0.0,0.0,0,Fish and Meat,
5647,Juana`s Fishy,False,72,1.0,1.0,14016.0,433.0,17.0,428.0,272.0,78.0,74.0,32637.0,9.0,0.0,0.0,10.0,0.4198100988874241,14.0,1,38.964210882771525,-9.41780103769446,47947.0,0.2923227120940388,0.009030802963521604,0.008926521174104496,0.005672929344290707,0.001626795914906894,0.0015433704833732072,0.6806889522412346,0.00018770722095079546,0.0,0.0,0,Fish and Meat,0.0
5789,Valerie`s Fishy,False,59,0.0,1.0,11266.0,181.0,11.0,764.0,181.0,11.0,59.0,39201.0,43.0,0.0,0.0,13.0,0.6261846997048699,18.0,1,39.35663469744221,-9.380306732666686,51706.0,0.2178856964596572,0.00350056018633037,0.014775845206388966,0.00350056018633037,0.00021274122679355842,0.0011410665800745405,0.7581517119576622,0.0008316247956475465,0.0,0.0,0,Fish and Meat,0.0
5979,Tyisha`s Fishy,False,58,1.0,1.0,15736.0,33.0,17.0,491.0,219.0,231.0,111.0,41899.0,95.0,0.0,0.0,23.0,0.4818051652758429,14.0,1,39.357502237234094,-9.382115396340152,58815.0,0.267550749375032,0.0005610812613990884,0.00834820907111977,0.00372353928019395,0.003927568829793619,0.0018872733337969337,0.7123861748897092,0.0016152339343307091,0.0,0.0,0,Fish and Meat,0.0
6078,Adrian`s Fishy,True,78,1.0,1.0,12331.0,323.0,17.0,514.0,173.0,100.0,156.0,47993.0,193.0,0.0,0.0,6.0,0.4351980527788395,11.0,1,38.96229748198052,-9.417590144466851,61783.0,0.19958561423278018,0.0052279744868370765,0.00831943927626705,0.002800122557965369,0.0016185679525811383,0.002524966006026576,0.7767993174822657,0.003123836148481597,0.0,0.0,0,Fish and Meat,0.0
6153,Colleen`s Fishy,False,32,0.0,1.0,13245.0,140.0,17.0,563.0,375.0,62.0,133.0,35325.0,67.0,0.0,0.0,24.0,0.7974208292379518,12.0,1,39.35697117560312,-9.38217797310791,49910.0,0.2653776266524491,0.0028050485263377027,0.011280302288058047,0.00751352283840456,0.001242235775949554,0.0026647961000208172,0.7077738513777095,0.0013424160804616147,0.0,0.0,0,Fish and Meat,0.0
6322,Karen`s Fishy,False,57,0.0,1.0,15561.0,322.0,17.0,474.0,410.0,144.0,82.0,39200.0,45.0,0.0,0.0,22.0,0.0,12.0,1,38.96225962291697,-9.416151820724163,56238.0,0.27669897992478754,0.005725664901727497,0.00842846324043116,0.007290442887292776,0.002560545794561365,0.0014580885774585551,0.6970374662972605,0.0008001705608004266,0.0,0.0,0,Fish and Meat,0.0
